sample,flag,version
HCT15_C902R1_P1D14,FALSE,V1.0
HCT15_C902R2_P1D14,FALSE,V1.0
HCT15_C902R3_P1D14,FALSE,V1.0
BICR78_c907R3,FALSE,V1.1
CAL33_c907R3,FALSE,V1.1
CAL72_c908R3,FALSE,V1.1
ESO51_c907R2,FALSE,V1.1
HCE4_c908R3,FALSE,V1.1
KYSE27_c908R2,FALSE,V1.1
LB771H_c908R2,FALSE,V1.1
LS1034_c903R1,FALSE,V1.0
MCF7_c903R3,FALSE,V1.0
H3118_c908R3,FALSE,V1.1
SCC4_c907R2,FALSE,V1.1
SCC90_c907R2,FALSE,V1.1
TT1_c908R3,FALSE,V1.1
TE10_c908R3,FALSE,V1.1
MKN1_c908R4,FALSE,V1.1
MKN1_c908R5,FALSE,V1.1
MKN1_c908R6,FALSE,V1.1
TE15_c907R1,FALSE,V1.1
TE15_c907R2,FALSE,V1.1
TE15_c907R3,FALSE,V1.1
GIMEN_c906R2,FALSE,V1.1
GIMEN_c906R3,FALSE,V1.1
Hs746T_c908R1,FALSE,V1.1
Hs746T_c908R2,FALSE,V1.1
KS1_c907R1,FALSE,V1.1
KS1_c907R2,FALSE,V1.1
M059J_c907R1,FALSE,V1.1
M059J_c907R2,FALSE,V1.1
M14_c902R2,FALSE,V1.0
M14_c902R3,FALSE,V1.0
MM1S_c907R1,FALSE,V1.1
MM1S_c907R2,FALSE,V1.1
H2405_c906R1,FALSE,V1.1
H2405_c906R3,FALSE,V1.1
OV56_c905R1,FALSE,V1.1
OV56_c905R2,FALSE,V1.1
OVR4_c905R1,FALSE,V1.1
OVR4_c905R2,FALSE,V1.1
SF268_c907R1,FALSE,V1.1
SF268_c907R2,FALSE,V1.1
TGBC11_c908R2,FALSE,V1.1
TGBC11_c908R3,FALSE,V1.1
